TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2008,1,9,14,0,26XX TOLMIE ST,West Point Grey,484561.4316,5456785.1952
Break and Enter Residential/Other,2008,2,18,15,45,26XX TOLMIE ST,West Point Grey,484561.4316,5456785.1952
Break and Enter Residential/Other,2020,4,3,9,59,26XX TRIMBLE ST,West Point Grey,485009.779,5456776.8224
Break and Enter Residential/Other,2007,8,14,9,15,27XX ALMA ST,West Point Grey,486468.3995,5456616.6468
Break and Enter Residential/Other,2010,10,21,13,0,27XX ALMA ST,West Point Grey,486468.4396,5456595.1233
Break and Enter Residential/Other,2019,12,6,23,0,27XX ALMA ST,West Point Grey,486468.4797,5456573.5998
Break and Enter Residential/Other,2006,5,28,9,0,27XX CAMOSUN ST,West Point Grey,485671.0854,5456611.8124
Break and Enter Residential/Other,2020,2,10,18,52,27XX CAMOSUN ST,West Point Grey,485671.0854,5456611.8124
Break and Enter Residential/Other,2006,8,9,9,30,27XX COURTENAY ST,West Point Grey,485441.0229,5456615.3208
Break and Enter Residential/Other,2005,3,16,11,47,27XX HIGHBURY ST,West Point Grey,486337.2137,5456652.6843
Break and Enter Residential/Other,2006,10,27,23,59,27XX TRIMBLE ST,West Point Grey,485007.1016,5456666.7291
Break and Enter Residential/Other,2017,10,5,13,0,27XX WALLACE ST,West Point Grey,486115.8522,5456584.676
Break and Enter Residential/Other,2010,2,19,10,30,28XX ALMA ST,West Point Grey,486469.8085,5456532.4527
Break and Enter Residential/Other,2012,10,3,9,0,28XX ALMA ST,West Point Grey,486469.8085,5456532.4527
Break and Enter Residential/Other,2005,5,4,19,0,28XX ALMA ST,West Point Grey,486469.8572,5456531.3715
Break and Enter Residential/Other,2021,10,10,22,0,28XX ALMA ST,West Point Grey,486469.8583,5456531.3474
Break and Enter Residential/Other,2004,4,27,12,30,28XX BLANCA ST,West Point Grey,484338.9167,5456530.5575
Break and Enter Residential/Other,2006,12,2,9,0,28XX BLANCA ST,West Point Grey,484340.2295,5456596.2561
Break and Enter Residential/Other,2007,7,29,23,0,28XX HIGHBURY ST,West Point Grey,486326.2136,5456534.4675
Break and Enter Residential/Other,2014,1,1,10,8,28XX HIGHBURY ST,West Point Grey,486326.2136,5456534.4675
Break and Enter Residential/Other,2020,10,5,23,30,28XX HIGHBURY ST,West Point Grey,486332.8415,5456474.5734
Break and Enter Residential/Other,2005,10,28,15,13,28XX HIGHBURY ST,West Point Grey,486333.9255,5456500.2964
Break and Enter Residential/Other,2007,9,15,20,0,28XX SASAMAT ST,West Point Grey,484773.5613,5456521.5636
Break and Enter Residential/Other,2008,8,14,0,1,28XX WALLACE ST,West Point Grey,486105.8052,5456556.6675
Break and Enter Residential/Other,2009,8,12,23,0,28XX WALLACE ST,West Point Grey,486105.8052,5456556.6675
Break and Enter Residential/Other,2009,8,17,23,30,28XX WALLACE ST,West Point Grey,486105.8052,5456556.6675
Break and Enter Residential/Other,2008,6,27,11,0,28XX WALLACE ST,West Point Grey,486111.1462,5456483.3283
Break and Enter Residential/Other,2006,1,14,22,59,29XX CROWN ST,West Point Grey,485884.5394,5456388.5164
Break and Enter Residential/Other,2003,1,5,7,20,29XX HIGHBURY ST,West Point Grey,486320.8085,5456375.1058
Break and Enter Residential/Other,2019,12,26,10,26,29XX HIGHBURY ST,West Point Grey,486330.6066,5456398.9307
Break and Enter Residential/Other,2014,8,2,5,9,29XX HIGHBURY ST,West Point Grey,486331.7192,5456439.6723
Break and Enter Residential/Other,2011,5,9,13,0,29XX TRIMBLE ST,West Point Grey,485001.1417,5456422.4484
Break and Enter Residential/Other,2005,10,7,14,4,30XX ALMA ST,West Point Grey,486457.9213,5456273.7147
Break and Enter Residential/Other,2003,7,15,2,40,30XX ALMA ST,West Point Grey,486458.075,5456279.32
Break and Enter Residential/Other,2006,5,27,22,30,30XX ALMA ST,West Point Grey,486459.0486,5456314.8201
Break and Enter Residential/Other,2017,2,22,19,0,30XX ALMA ST,West Point Grey,486459.0957,5456316.5273
Break and Enter Residential/Other,2020,12,31,9,58,30XX COURTENAY ST,West Point Grey,485434.2735,5456346.6254
Break and Enter Residential/Other,2005,12,12,20,0,30XX CROWN ST,West Point Grey,485873.7217,5456316.6312
Break and Enter Residential/Other,2020,3,11,12,24,30XX CROWN ST,West Point Grey,485874.2674,5456340.1114
Break and Enter Residential/Other,2013,8,31,23,30,30XX CROWN ST,West Point Grey,485874.8082,5456363.3756
Break and Enter Residential/Other,2017,9,22,18,0,30XX CROWN ST,West Point Grey,485874.8512,5456365.2276
Break and Enter Residential/Other,2010,5,7,15,30,30XX CROWN ST,West Point Grey,485882.9583,5456320.5121
Break and Enter Residential/Other,2011,5,13,19,0,30XX TRIMBLE ST,West Point Grey,484998.4216,5456309.7942
Break and Enter Residential/Other,2006,2,26,16,0,31XX CAMOSUN ST,West Point Grey,485650.0154,5456188.8091
Break and Enter Residential/Other,2005,4,12,23,0,31XX CAMOSUN ST,West Point Grey,485659.2418,5456191.2473
Break and Enter Residential/Other,2003,9,29,8,0,31XX CROWN ST,West Point Grey,485871.2658,5456216.2293
Break and Enter Residential/Other,2003,6,3,8,0,31XX SASAMAT ST,West Point Grey,484775.2855,5456230.8709
Break and Enter Residential/Other,2011,4,20,11,45,31XX TOLMIE ST,West Point Grey,484546.0735,5456234.5312
Break and Enter Residential/Other,2012,9,15,16,22,31XX TOLMIE ST,West Point Grey,484546.0735,5456234.5312
Break and Enter Residential/Other,2011,10,13,2,0,31XX TOLMIE ST,West Point Grey,484547.5558,5456280.5416
Break and Enter Residential/Other,2020,3,2,22,0,31XX TOLMIE ST,West Point Grey,484556.3393,5456269.2047
Break and Enter Residential/Other,2010,8,21,19,0,37XX POINT GREY RD,West Point Grey,486376.2081,5457739.2726
Break and Enter Residential/Other,2011,6,22,10,15,37XX POINT GREY RD,West Point Grey,486429.2651,5457738.0169
Break and Enter Residential/Other,2012,4,10,16,26,37XX POINT GREY RD,West Point Grey,486429.2651,5457738.0169
Break and Enter Residential/Other,2008,8,26,12,0,37XX POINT GREY RD,West Point Grey,486436.9915,5457737.7966
Break and Enter Residential/Other,2011,6,22,10,28,37XX POINT GREY RD,West Point Grey,486436.9915,5457737.7966
Break and Enter Residential/Other,2004,5,11,21,20,37XX POINT GREY RD,West Point Grey,486452.4443,5457737.3561
Break and Enter Residential/Other,2004,6,17,11,0,37XX POINT GREY RD,West Point Grey,486467.8971,5457736.9156
Break and Enter Residential/Other,2008,4,7,22,0,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Residential/Other,2003,4,26,10,30,37XX W 10TH AVE,West Point Grey,486354.9604,5456763.7363
Break and Enter Residential/Other,2003,5,14,23,0,37XX W 10TH AVE,West Point Grey,486354.9604,5456763.7363
Break and Enter Residential/Other,2003,12,27,6,50,37XX W 10TH AVE,West Point Grey,486354.9604,5456763.7363
Break and Enter Residential/Other,2003,1,17,8,30,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Residential/Other,2003,7,6,2,30,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Residential/Other,2003,12,24,0,1,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Residential/Other,2004,9,18,0,0,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Residential/Other,2020,3,30,8,0,37XX W 10TH AVE,West Point Grey,486409.1208,5456770.5176
Break and Enter Residential/Other,2018,4,7,2,0,37XX W 10TH AVE,West Point Grey,486409.2915,5456770.5102
Break and Enter Residential/Other,2003,1,3,10,0,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Residential/Other,2004,7,18,16,0,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Residential/Other,2004,7,9,22,0,37XX W 11TH AVE,West Point Grey,486375.8838,5456666.3562
Break and Enter Residential/Other,2005,11,1,11,0,37XX W 11TH AVE,West Point Grey,486375.8838,5456666.3562
Break and Enter Residential/Other,2011,11,15,14,19,37XX W 11TH AVE,West Point Grey,486422.2315,5456665.1243
Break and Enter Residential/Other,2004,1,4,23,30,37XX W 11TH AVE,West Point Grey,486429.7131,5456655.7782
Break and Enter Residential/Other,2015,8,20,21,0,37XX W 11TH AVE,West Point Grey,486429.7131,5456655.7782
Break and Enter Residential/Other,2019,10,4,0,0,37XX W 11TH AVE,West Point Grey,486429.7131,5456655.7782
Break and Enter Residential/Other,2016,11,8,19,25,37XX W 11TH AVE,West Point Grey,486453.13,5456664.303
Break and Enter Residential/Other,2013,6,28,12,0,37XX W 11TH AVE,West Point Grey,486463.4295,5456664.0293
Break and Enter Residential/Other,2017,12,22,8,0,37XX W 12TH AVE,West Point Grey,486368.9222,5456569.2001
Break and Enter Residential/Other,2003,6,6,15,30,37XX W 12TH AVE,West Point Grey,486377.8581,5456559.7881
Break and Enter Residential/Other,2017,3,5,10,39,37XX W 12TH AVE,West Point Grey,486404.0777,5456568.1623
Break and Enter Residential/Other,2021,5,5,0,0,37XX W 12TH AVE,West Point Grey,486420.3034,5456567.6833
Break and Enter Residential/Other,2018,1,20,12,7,37XX W 12TH AVE,West Point Grey,486450.0503,5456566.8051
Break and Enter Residential/Other,2006,4,14,22,19,37XX W 13TH AVE,West Point Grey,486376.1885,5456467.0233
Break and Enter Residential/Other,2008,8,5,14,45,37XX W 13TH AVE,West Point Grey,486391.4995,5456457.5908
Break and Enter Residential/Other,2005,3,9,20,15,37XX W 13TH AVE,West Point Grey,486396.6603,5456457.4941
Break and Enter Residential/Other,2013,3,30,6,54,37XX W 13TH AVE,West Point Grey,486396.6603,5456457.4941
Break and Enter Residential/Other,2012,2,8,9,9,37XX W 13TH AVE,West Point Grey,486422.4641,5456457.0106
Break and Enter Residential/Other,2012,2,8,14,54,37XX W 13TH AVE,West Point Grey,486422.4641,5456457.0106
Break and Enter Residential/Other,2018,9,9,4,17,37XX W 13TH AVE,West Point Grey,486423.7252,5456466.1328
Break and Enter Residential/Other,2007,8,5,23,30,37XX W 13TH AVE,West Point Grey,486443.1072,5456456.6239
Break and Enter Residential/Other,2004,3,19,9,30,37XX W 14TH AVE,West Point Grey,486337.049,5456357.6568
Break and Enter Residential/Other,2005,4,22,0,15,37XX W 14TH AVE,West Point Grey,486337.049,5456357.6568
Break and Enter Residential/Other,2013,12,21,0,0,37XX W 14TH AVE,West Point Grey,486337.049,5456357.6568
Break and Enter Residential/Other,2014,10,30,12,0,37XX W 14TH AVE,West Point Grey,486337.049,5456357.6568
Break and Enter Residential/Other,2009,11,5,19,5,37XX W 14TH AVE,West Point Grey,486365.2934,5456356.9468
Break and Enter Residential/Other,2015,1,18,13,5,37XX W 14TH AVE,West Point Grey,486396.3353,5456365.3134
Break and Enter Residential/Other,2009,5,1,10,12,37XX W 14TH AVE,West Point Grey,486401.2409,5456356.0432
Break and Enter Residential/Other,2015,8,10,15,46,37XX W 14TH AVE,West Point Grey,486432.2827,5456364.4098
Break and Enter Residential/Other,2013,1,10,19,25,37XX W 14TH AVE,West Point Grey,486439.9857,5456364.2162
Break and Enter Residential/Other,2009,11,18,19,0,37XX W 14TH AVE,West Point Grey,486447.459,5456354.8814
Break and Enter Residential/Other,2020,7,10,0,0,37XX W 15TH AVE,West Point Grey,486353.3029,5456255.4471
Break and Enter Residential/Other,2004,12,8,12,0,37XX W 15TH AVE,West Point Grey,486365.211,5456255.1486
Break and Enter Residential/Other,2013,10,21,19,30,37XX W 15TH AVE,West Point Grey,486380.8242,5456263.9038
Break and Enter Residential/Other,2014,7,7,10,50,37XX W 15TH AVE,West Point Grey,486450.0517,5456262.1669
Break and Enter Residential/Other,2014,4,1,0,0,37XX W 16TH AVE,West Point Grey,486342.775,5456162.0514
Break and Enter Residential/Other,2010,4,7,4,20,37XX W 16TH AVE,West Point Grey,486344.767,5456162.0271
Break and Enter Residential/Other,2005,8,22,7,30,37XX W 16TH AVE,West Point Grey,486370.3827,5456161.7167
Break and Enter Residential/Other,2005,5,24,22,0,37XX W 16TH AVE,West Point Grey,486385.7521,5456161.5305
Break and Enter Residential/Other,2008,11,7,20,0,37XX W 16TH AVE,West Point Grey,486385.7521,5456161.5305
Break and Enter Residential/Other,2009,1,8,17,30,37XX W 16TH AVE,West Point Grey,486385.7521,5456161.5305
Break and Enter Residential/Other,2014,4,5,18,0,37XX W 16TH AVE,West Point Grey,486385.7521,5456161.5305
Break and Enter Residential/Other,2015,5,4,15,0,37XX W 16TH AVE,West Point Grey,486385.7521,5456161.5305
Break and Enter Residential/Other,2015,11,8,8,53,37XX W 16TH AVE,West Point Grey,486395.9984,5456161.4063
Break and Enter Residential/Other,2017,3,7,17,0,37XX W 16TH AVE,West Point Grey,486396.2834,5456161.4028
Break and Enter Residential/Other,2007,10,9,10,0,37XX W 16TH AVE,West Point Grey,486406.2447,5456161.2821
Break and Enter Residential/Other,2004,1,19,8,0,37XX W 1ST AVE,West Point Grey,486373.4576,5457633.263
Break and Enter Residential/Other,2008,7,3,13,10,37XX W 1ST AVE,West Point Grey,486437.3664,5457640.4027
Break and Enter Residential/Other,2005,11,9,17,14,37XX W 1ST AVE,West Point Grey,486465.0726,5457630.3833
Break and Enter Residential/Other,2005,1,29,21,0,37XX W 1ST AVE,West Point Grey,486490.8085,5457638.7228
Break and Enter Residential/Other,2022,3,27,17,30,37XX W 2ND AVE,West Point Grey,486387.1752,5457539.5858
Break and Enter Residential/Other,2022,5,12,22,44,37XX W 2ND AVE,West Point Grey,486400.5059,5457539.2138
Break and Enter Residential/Other,2005,3,26,10,3,37XX W 2ND AVE,West Point Grey,486401.5838,5457539.1834
Break and Enter Residential/Other,2020,5,4,11,23,37XX W 2ND AVE,West Point Grey,486440.243,5457528.9574
Break and Enter Residential/Other,2020,9,20,20,0,37XX W 2ND AVE,West Point Grey,486440.243,5457528.9574
Break and Enter Residential/Other,2022,5,14,20,0,37XX W 2ND AVE,West Point Grey,486451.1627,5457537.8003
Break and Enter Residential/Other,2011,7,15,20,0,37XX W 2ND AVE,West Point Grey,486477.9091,5457527.9059
Break and Enter Residential/Other,2022,3,18,23,0,37XX W 3RD AVE,West Point Grey,486403.4245,5457442.0256
Break and Enter Residential/Other,2019,11,7,18,30,37XX W 3RD AVE,West Point Grey,486414.271,5457432.5753
Break and Enter Residential/Other,2014,6,2,20,35,37XX W 3RD AVE,West Point Grey,486424.5182,5457432.2895
Break and Enter Residential/Other,2011,6,20,21,11,37XX W 3RD AVE,West Point Grey,486437.9533,5457431.9149
Break and Enter Residential/Other,2004,5,23,0,0,37XX W 3RD AVE,West Point Grey,486447.8295,5457440.7868
Break and Enter Residential/Other,2022,7,6,22,46,37XX W 3RD AVE,West Point Grey,486447.8295,5457440.7868
Break and Enter Residential/Other,2022,3,9,19,40,37XX W 3RD AVE,West Point Grey,486478.0885,5457430.7955
Break and Enter Residential/Other,2003,3,28,23,10,37XX W 4TH AVE,West Point Grey,486373.0383,5457340.1846
Break and Enter Residential/Other,2003,5,14,2,8,37XX W 4TH AVE,West Point Grey,486373.0383,5457340.1846
Break and Enter Residential/Other,2008,2,16,15,0,37XX W 4TH AVE,West Point Grey,486430.1376,5457338.8622
Break and Enter Residential/Other,2009,6,29,8,0,37XX W 4TH AVE,West Point Grey,486430.1376,5457338.8622
Break and Enter Residential/Other,2005,2,23,12,0,37XX W 4TH AVE,West Point Grey,486484.4298,5457328.4583
Break and Enter Residential/Other,2004,2,10,9,0,37XX W 6TH AVE,West Point Grey,486402.0666,5457144.0271
Break and Enter Residential/Other,2007,1,18,14,30,37XX W 6TH AVE,West Point Grey,486402.0666,5457144.0271
Break and Enter Residential/Other,2009,2,7,19,36,37XX W 6TH AVE,West Point Grey,486402.0666,5457144.0271
Break and Enter Residential/Other,2003,5,3,12,15,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2003,7,2,12,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2003,10,3,1,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2003,10,18,23,8,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2003,11,7,18,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2003,12,19,9,30,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2004,2,16,9,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2004,3,31,14,10,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2004,4,9,14,15,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2004,9,27,17,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2006,4,14,5,5,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2007,7,10,2,37,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2007,9,17,4,27,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2007,11,29,15,30,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2008,6,13,9,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2011,5,10,6,45,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2012,7,7,14,20,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2014,5,1,15,30,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2016,7,14,10,5,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Residential/Other,2012,9,7,15,0,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Residential/Other,2014,4,1,22,0,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Residential/Other,2017,4,21,9,20,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Residential/Other,2019,8,30,19,42,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Residential/Other,2018,5,9,13,16,37XX W 7TH AVE,West Point Grey,486359.073,5457047.2727
Break and Enter Residential/Other,2019,8,11,9,2,37XX W 7TH AVE,West Point Grey,486359.073,5457047.2727
Break and Enter Residential/Other,2013,6,3,11,0,37XX W 7TH AVE,West Point Grey,486361.3936,5457047.2497
Break and Enter Residential/Other,2004,12,21,17,0,37XX W 7TH AVE,West Point Grey,486389.5028,5457056.1197
Break and Enter Residential/Other,2014,6,12,18,0,37XX W 7TH AVE,West Point Grey,486389.5028,5457056.1197
Break and Enter Residential/Other,2008,11,16,5,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.9512
Break and Enter Residential/Other,2010,11,26,12,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.9512
Break and Enter Residential/Other,2006,10,5,9,0,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2009,11,16,19,22,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2009,12,5,18,30,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2010,4,23,22,17,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2012,2,22,21,41,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2012,12,21,8,0,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2014,11,17,17,45,37XX W 7TH AVE,West Point Grey,486450.5481,5457046.3791
Break and Enter Residential/Other,2009,8,5,21,0,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Residential/Other,2022,3,9,16,30,37XX W 7TH AVE,West Point Grey,486470.9023,5457055.3253
Break and Enter Residential/Other,2004,12,2,12,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2006,1,2,12,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2008,4,24,8,20,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2010,9,5,21,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2012,9,24,9,30,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2013,7,13,16,30,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2014,1,28,8,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2014,11,26,18,15,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2012,12,15,17,0,37XX W 8TH AVE,West Point Grey,486376.789,5456965.4968
Break and Enter Residential/Other,2016,4,9,18,0,37XX W 8TH AVE,West Point Grey,486404.7811,5456965.0616
Break and Enter Residential/Other,2006,10,14,22,0,37XX W 8TH AVE,West Point Grey,486447.8995,5456955.246
Break and Enter Residential/Other,2009,4,14,8,14,37XX W 8TH AVE,West Point Grey,486447.8995,5456955.246
Break and Enter Residential/Other,2004,9,30,0,0,37XX W 8TH AVE,West Point Grey,486450.5864,5456964.3493
Break and Enter Residential/Other,2008,10,7,13,0,37XX W 8TH AVE,West Point Grey,486450.5864,5456964.3493
Break and Enter Residential/Other,2020,11,20,11,31,37XX W BROADWAY AV,West Point Grey,486448.324,5456857.4189
Break and Enter Residential/Other,2019,11,15,16,0,37XX W BROADWAY AVE,West Point Grey,486349.9382,5456857.9542
Break and Enter Residential/Other,2020,5,3,13,42,37XX W BROADWAY AVE,West Point Grey,486365.8927,5456857.8674
Break and Enter Residential/Other,2017,2,15,6,50,37XX W BROADWAY AVE,West Point Grey,486381.8471,5456857.7806
Break and Enter Residential/Other,2020,6,20,20,0,37XX W BROADWAY AVE,West Point Grey,486400.5104,5456866.8232
Break and Enter Residential/Other,2011,3,17,12,30,37XX W BROADWAY AVE,West Point Grey,486413.4733,5456857.6082
Break and Enter Residential/Other,2012,12,12,13,48,37XX W BROADWAY AVE,West Point Grey,486413.4733,5456857.6082
Break and Enter Residential/Other,2013,2,26,9,0,37XX W BROADWAY AVE,West Point Grey,486413.4733,5456857.6082
Break and Enter Residential/Other,2003,6,19,19,0,37XX W BROADWAY AVE,West Point Grey,486416.069,5456866.7382
Break and Enter Residential/Other,2010,2,2,15,50,37XX W BROADWAY AVE,West Point Grey,486416.069,5456866.7382
Break and Enter Residential/Other,2010,2,3,12,38,37XX W BROADWAY AVE,West Point Grey,486416.069,5456866.7382
Break and Enter Residential/Other,2003,5,12,15,10,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Residential/Other,2004,8,20,23,30,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Residential/Other,2004,10,13,7,30,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Residential/Other,2004,5,11,23,45,38XX ANTWERP LANE,West Point Grey,486174.9943,5457021.1377
Break and Enter Residential/Other,2008,5,18,20,30,38XX ORTONA CRES,West Point Grey,486270.6244,5457158.5095
Break and Enter Residential/Other,2014,6,3,21,0,38XX POINT GREY RD,West Point Grey,486192.0492,5457652.4493
Break and Enter Residential/Other,2007,12,22,10,0,38XX POINT GREY RD,West Point Grey,486226.1015,5457666.4668
Break and Enter Residential/Other,2008,11,7,23,0,38XX POINT GREY RD,West Point Grey,486226.1015,5457666.4668
Break and Enter Residential/Other,2006,8,29,16,0,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2007,12,2,4,29,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2014,10,31,23,59,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,1,1,12,0,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,1,1,13,30,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,1,2,9,0,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,1,2,10,0,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,1,4,8,59,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,2,25,19,51,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,2,29,2,45,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,2,29,16,40,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2016,3,7,9,25,38XX POINT GREY RD,West Point Grey,486323.5506,5457729.2923
Break and Enter Residential/Other,2005,7,5,13,10,38XX W 10TH AVE,West Point Grey,486134.1964,5456769.7221
Break and Enter Residential/Other,2021,4,29,0,0,38XX W 10TH AVE,West Point Grey,486147.28,5456778.5358
Break and Enter Residential/Other,2021,11,24,16,45,38XX W 10TH AVE,West Point Grey,486147.28,5456778.5358
Break and Enter Residential/Other,2010,6,2,5,6,38XX W 10TH AVE,West Point Grey,486150.6054,5456778.451
Break and Enter Residential/Other,2011,10,20,10,0,38XX W 10TH AVE,West Point Grey,486150.6054,5456778.451
Break and Enter Residential/Other,2003,2,14,21,25,38XX W 10TH AVE,West Point Grey,486158.6935,5456778.245
Break and Enter Residential/Other,2005,11,2,9,30,38XX W 10TH AVE,West Point Grey,486199.1339,5456777.2146
Break and Enter Residential/Other,2014,6,30,8,13,38XX W 10TH AVE,West Point Grey,486199.1339,5456777.2146
Break and Enter Residential/Other,2020,3,18,1,9,38XX W 10TH AVE,West Point Grey,486206.9891,5456767.8675
Break and Enter Residential/Other,2020,9,18,0,0,38XX W 10TH AVE,West Point Grey,486206.9891,5456767.8675
Break and Enter Residential/Other,2003,12,31,8,50,38XX W 10TH AVE,West Point Grey,486211.266,5456776.9055
Break and Enter Residential/Other,2008,10,22,11,0,38XX W 10TH AVE,West Point Grey,486239.5743,5456776.1843
Break and Enter Residential/Other,2020,8,17,19,49,38XX W 10TH AVE,West Point Grey,486244.1939,5456766.9197
Break and Enter Residential/Other,2004,7,4,12,0,38XX W 10TH AVE,West Point Grey,486247.4295,5456766.8372
Break and Enter Residential/Other,2020,11,6,9,48,38XX W 10TH AVE,West Point Grey,486248.4177,5456766.8121
Break and Enter Residential/Other,2005,3,24,10,30,38XX W 10TH AVE,West Point Grey,486255.5175,5456766.6311
Break and Enter Residential/Other,2003,10,22,19,0,38XX W 10TH AVE,West Point Grey,486267.6496,5456766.322
Break and Enter Residential/Other,2014,6,7,15,27,38XX W 10TH AVE,West Point Grey,486267.6496,5456766.322
Break and Enter Residential/Other,2020,1,22,21,16,38XX W 10TH AVE,West Point Grey,486282.4408,5456775.0923
Break and Enter Residential/Other,2020,9,23,0,0,38XX W 10TH AVE,West Point Grey,486282.4408,5456775.0923
Break and Enter Residential/Other,2009,11,5,20,30,38XX W 10TH AVE,West Point Grey,486287.8698,5456765.8069
Break and Enter Residential/Other,2021,7,17,3,20,38XX W 10TH AVE,West Point Grey,486290.6554,5456765.736
Break and Enter Residential/Other,2020,4,6,3,23,38XX W 11TH AVE,West Point Grey,486127.433,5456672.8308
